system_id,state_id,candidate_set_id,candidate_formula_ids_json,selected_grouped_terms_per_formula,selected_formula_id,full_compact_reference_formula_id,selection_matches_full_compact,exact_leading_model_selection_regret,direct_reference_formula_id,direct_formula_choice_regret,total_grouped_expectation_evaluations
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",3,current_m3,current_m3,True,0.0,current_m3,0.0,9
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",4,current_m3,current_m3,True,0.0,current_m3,0.0,12
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,current_m3,current_m3,True,0.0,current_m3,0.0,15
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,two_term_center,m5_best,False,0.341723783346334,,,4
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,m5_best,m5_best,True,0.0,,,20
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",10,m5_best,m5_best,True,0.0,,,40
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",25,m5_best,m5_best,True,0.0,,,100
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",50,m5_best,m5_best,True,0.0,,,200
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",100,m5_best,m5_best,True,0.0,,,400
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",200,m5_best,m5_best,True,0.0,,,800
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",300,m5_best,m5_best,True,0.0,,,1200
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",400,m5_best,m5_best,True,0.0,,,1600
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",456,m5_best,m5_best,True,0.0,,,1824
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,two_term_center,current_m3,False,0.1419041106549872,current_m3,0.1490473931546763,3
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,current_m3,current_m3,True,0.0,current_m3,0.0,15
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",10,current_m3,current_m3,True,0.0,current_m3,0.0,30
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",25,current_m3,current_m3,True,0.0,current_m3,0.0,75
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",50,current_m3,current_m3,True,0.0,current_m3,0.0,150
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",100,current_m3,current_m3,True,0.0,current_m3,0.0,300
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",200,current_m3,current_m3,True,0.0,current_m3,0.0,600
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",300,current_m3,current_m3,True,0.0,current_m3,0.0,900
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",400,current_m3,current_m3,True,0.0,current_m3,0.0,1200
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",456,current_m3,current_m3,True,0.0,current_m3,0.0,1368
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,two_term_center,two_term_center,True,0.0,,,4
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,current_m3,two_term_center,False,0.008412392066061036,,,20
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",10,current_m3,two_term_center,False,0.008412392066061036,,,40
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",25,two_term_center,two_term_center,True,0.0,,,100
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",50,two_term_center,two_term_center,True,0.0,,,200
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",100,two_term_center,two_term_center,True,0.0,,,400
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",200,two_term_center,two_term_center,True,0.0,,,800
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",300,two_term_center,two_term_center,True,0.0,,,1200
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",400,two_term_center,two_term_center,True,0.0,,,1600
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",456,two_term_center,two_term_center,True,0.0,,,1824
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,3
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,current_m3,two_term_center,False,0.008412392066061036,current_m3,0.0,15
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",10,current_m3,two_term_center,False,0.008412392066061036,current_m3,0.0,30
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",25,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,75
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",50,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,150
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",100,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,300
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",200,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,600
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",300,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,900
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",400,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,1200
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",456,two_term_center,two_term_center,True,0.0,current_m3,0.1490473931546763,1368
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",1,two_term_center,m5_best,False,0.26069468655198524,,,4
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",5,m5_best,m5_best,True,0.0,,,20
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",10,m5_best,m5_best,True,0.0,,,40
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",25,m5_best,m5_best,True,0.0,,,100
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",50,m5_best,m5_best,True,0.0,,,200
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",100,m5_best,m5_best,True,0.0,,,400
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",200,m5_best,m5_best,True,0.0,,,800
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",300,m5_best,m5_best,True,0.0,,,1200
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",400,m5_best,m5_best,True,0.0,,,1600
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",456,m5_best,m5_best,True,0.0,,,1824
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",1,two_term_center,current_m3,False,0.13237060552450108,current_m3,0.1490473931546763,3
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",5,current_m3,current_m3,True,0.0,current_m3,0.0,15
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",10,current_m3,current_m3,True,0.0,current_m3,0.0,30
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",25,current_m3,current_m3,True,0.0,current_m3,0.0,75
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",50,current_m3,current_m3,True,0.0,current_m3,0.0,150
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",100,current_m3,current_m3,True,0.0,current_m3,0.0,300
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",200,current_m3,current_m3,True,0.0,current_m3,0.0,600
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",300,current_m3,current_m3,True,0.0,current_m3,0.0,900
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",400,current_m3,current_m3,True,0.0,current_m3,0.0,1200
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",456,current_m3,current_m3,True,0.0,current_m3,0.0,1368
